"grid_id","consumption","max","mean","min","new1","new_month","day"
1000,0.233395833333333,20,17,14,"2009-07-01","Jul-9","01"
1001,0.1405,20,17,14,"2009-07-01","Jul-9","01"
1524,0.633541666666667,20,17,14,"2009-07-01","Jul-9","01"
1821,0.0999791666666667,20,17,14,"2009-07-01","Jul-9","01"
1000,0.1750625,19,16,14,"2009-07-02","Jul-9","02"
1001,0.144770833333333,19,16,14,"2009-07-02","Jul-9","02"
1524,0.297979166666667,19,16,14,"2009-07-02","Jul-9","02"
1821,0.117625,19,16,14,"2009-07-02","Jul-9","02"
1000,0.150520833333333,22,18,14,"2009-07-03","Jul-9","03"
1001,0.151145833333333,22,18,14,"2009-07-03","Jul-9","03"
1524,0.492916666666667,22,18,14,"2009-07-03","Jul-9","03"
1821,0.099875,22,18,14,"2009-07-03","Jul-9","03"
1000,0.236208333333333,20,16,12,"2009-07-04","Jul-9","04"
1001,0.149791666666667,20,16,12,"2009-07-04","Jul-9","04"
1524,0.432041666666667,20,16,12,"2009-07-04","Jul-9","04"
1821,0.0337291666666667,20,16,12,"2009-07-04","Jul-9","04"
1000,0.235541666666667,18,15,12,"2009-07-05","Jul-9","05"
1001,0.141770833333333,18,15,12,"2009-07-05","Jul-9","05"
1524,0.0465208333333333,18,15,12,"2009-07-05","Jul-9","05"
1821,0.0304166666666667,18,15,12,"2009-07-05","Jul-9","05"
1000,0.059875,18,14,10,"2009-07-06","Jul-9","06"
1001,0.1456875,18,14,10,"2009-07-06","Jul-9","06"
1524,0.0252083333333333,18,14,10,"2009-07-06","Jul-9","06"
1821,0.0185208333333333,18,14,10,"2009-07-06","Jul-9","06"
1000,0.241666666666667,18,15,12,"2009-07-07","Jul-9","07"
1001,0.266520833333333,18,15,12,"2009-07-07","Jul-9","07"
1524,0.150979166666667,18,15,12,"2009-07-07","Jul-9","07"
1821,0.0176041666666667,18,15,12,"2009-07-07","Jul-9","07"
1000,0.0960416666666667,18,14,11,"2009-07-08","Jul-9","08"
1001,0.1203125,18,14,11,"2009-07-08","Jul-9","08"
1524,0.60825,18,14,11,"2009-07-08","Jul-9","08"
1821,0.0206875,18,14,11,"2009-07-08","Jul-9","08"
1000,0.259083333333333,17,14,10,"2009-07-09","Jul-9","09"
1001,0.120208333333333,17,14,10,"2009-07-09","Jul-9","09"
1524,0.405229166666667,17,14,10,"2009-07-09","Jul-9","09"
1821,0.0219791666666667,17,14,10,"2009-07-09","Jul-9","09"
1000,0.102979166666667,16,12,7,"2009-07-10","Jul-9","10"
1001,0.131270833333333,16,12,7,"2009-07-10","Jul-9","10"
1524,0.642145833333333,16,12,7,"2009-07-10","Jul-9","10"
1821,0.0225625,16,12,7,"2009-07-10","Jul-9","10"
1000,0.0765625,18,15,12,"2009-07-11","Jul-9","11"
1001,0.125770833333333,18,15,12,"2009-07-11","Jul-9","11"
1524,0.124229166666667,18,15,12,"2009-07-11","Jul-9","11"
1821,0.0218541666666667,18,15,12,"2009-07-11","Jul-9","11"
1000,0.2331875,19,16,12,"2009-07-12","Jul-9","12"
1001,0.148645833333333,19,16,12,"2009-07-12","Jul-9","12"
1524,0,19,16,12,"2009-07-12","Jul-9","12"
1821,0.0175833333333333,19,16,12,"2009-07-12","Jul-9","12"
1000,0.369770833333333,17,14,11,"2009-07-13","Jul-9","13"
1001,0.117,17,14,11,"2009-07-13","Jul-9","13"
1524,0,17,14,11,"2009-07-13","Jul-9","13"
1821,0.0180208333333333,17,14,11,"2009-07-13","Jul-9","13"
1000,0.23075,16,12,9,"2009-07-14","Jul-9","14"
1001,0.1346875,16,12,9,"2009-07-14","Jul-9","14"
1524,0,16,12,9,"2009-07-14","Jul-9","14"
1821,0.0181458333333333,16,12,9,"2009-07-14","Jul-9","14"
1000,0.219270833333333,21,14,7,"2009-07-15","Jul-9","15"
1001,0.1281875,21,14,7,"2009-07-15","Jul-9","15"
1524,0,21,14,7,"2009-07-15","Jul-9","15"
1821,0.0180208333333333,21,14,7,"2009-07-15","Jul-9","15"
1000,0.206770833333333,17,14,11,"2009-07-16","Jul-9","16"
1001,0.126708333333333,17,14,11,"2009-07-16","Jul-9","16"
1524,0,17,14,11,"2009-07-16","Jul-9","16"
1821,0.0174375,17,14,11,"2009-07-16","Jul-9","16"
1000,0.206979166666667,19,15,11,"2009-07-17","Jul-9","17"
1001,0.1289375,19,15,11,"2009-07-17","Jul-9","17"
1524,0,19,15,11,"2009-07-17","Jul-9","17"
1821,0.0172291666666667,19,15,11,"2009-07-17","Jul-9","17"
1000,0.3651875,16,12,9,"2009-07-18","Jul-9","18"
1001,0.122416666666667,16,12,9,"2009-07-18","Jul-9","18"
1524,0,16,12,9,"2009-07-18","Jul-9","18"
1821,0.0179791666666667,16,12,9,"2009-07-18","Jul-9","18"
1000,0.1884375,17,14,11,"2009-08-01","Aug-9","01"
1001,0.128479166666667,17,14,11,"2009-08-01","Aug-9","01"
1524,0,17,14,11,"2009-08-01","Aug-9","01"
1821,0.0168958333333333,17,14,11,"2009-08-01","Aug-9","01"
1000,0.050125,17,13,9,"2009-08-02","Aug-9","02"
1001,0.123270833333333,17,13,9,"2009-08-02","Aug-9","02"
1524,0,17,13,9,"2009-08-02","Aug-9","02"
1821,0.017375,17,13,9,"2009-08-02","Aug-9","02"
1000,0.119583333333333,20,16,13,"2009-08-03","Aug-9","03"
1001,0.1319375,20,16,13,"2009-08-03","Aug-9","03"
1524,0,20,16,13,"2009-08-03","Aug-9","03"
1821,0.0181458333333333,20,16,13,"2009-08-03","Aug-9","03"
1000,0.253895833333333,20,17,14,"2009-08-04","Aug-9","04"
1001,0.122,20,17,14,"2009-08-04","Aug-9","04"
1524,0.188375,20,17,14,"2009-08-04","Aug-9","04"
1821,0.143895833333333,20,17,14,"2009-08-04","Aug-9","04"
1000,0.158895833333333,20,16,12,"2009-08-05","Aug-9","05"
1001,0.122270833333333,20,16,12,"2009-08-05","Aug-9","05"
1524,0.123645833333333,20,16,12,"2009-08-05","Aug-9","05"
1821,0.147791666666667,20,16,12,"2009-08-05","Aug-9","05"
1000,0.224958333333333,20,14,8,"2009-08-06","Aug-9","06"
1001,0.115645833333333,20,14,8,"2009-08-06","Aug-9","06"
1524,0.103604166666667,20,14,8,"2009-08-06","Aug-9","06"
1821,0.215604166666667,20,14,8,"2009-08-06","Aug-9","06"
1000,0.225479166666667,19,15,11,"2009-08-07","Aug-9","07"
1001,0.115166666666667,19,15,11,"2009-08-07","Aug-9","07"
1524,0.189395833333333,19,15,11,"2009-08-07","Aug-9","07"
1821,0.0348125,19,15,11,"2009-08-07","Aug-9","07"
1000,0.187958333333333,21,17,13,"2009-08-08","Aug-9","08"
